id,ranking
8395,745
5208,746
8506,747
6793,748
6622,749
6367,750
5135,751
5914,752
9,753
862,754
4376,755
8881,756
5745,757
1123,758
3311,759
5562,760
588,761
8862,762
7503,763
8791,764
8432,765
7426,766
8447,767
949,768
5453,769
5010,770
5754,771
5665,772
4316,773
1679,774
7695,775
7519,776
707,777
5057,778
3601,779
9692,780
1102,781
1333,782
7211,783
9791,784
3649,785
6796,786
6049,787
6365,788
7363,789
8552,790
6611,791
5647,792
2239,793
1163,794
9878,795
4346,796
8725,797
8579,798
7654,799
3564,800
6216,801
4461,802
7397,803
9934,804
6740,805
4669,806
7484,807
4853,808
5409,809
7862,810
6224,811
1363,812
8511,813
5251,814
123,815
8929,816
3961,817
9876,818
6779,819
9785,820
6404,821
3127,822
3932,823
5186,824
8972,825
8357,826
9618,827
5430,828
9580,829
8349,830
2394,831
4937,832
6513,833
8120,834
5320,835
453,836
4529,837
8697,838
7901,839
9644,840
8916,841
4251,842
6994,843
1367,844
3088,845
9698,846
5554,847
3519,848
525,849
9646,850
4288,851
2495,852
3438,853
377,854
8461,855
6532,856
7770,857
6477,858
8651,859
3015,860
6987,861
4029,862
6255,863
6188,864
6486,865
5649,866
7174,867
2621,868
4250,869
1470,870
1000,871
3841,872
4638,873
9961,874
7396,875
684,876
7881,877
7630,878
2841,879
3212,880
339,881
6229,882
9572,883
8496,884
8364,885
9522,886
5515,887
6141,888
6706,889
3060,890
6060,891
9941,892
4953,893
1682,894
9937,895
3981,896
3814,897
9547,898
5525,899
9774,900
1819,901
4264,902
4021,903
8906,904
6351,905
8576,906
6242,907
35,908
3009,908
4122,910
1318,911
9625,912
3511,913
7665,914
7185,915
4798,916
9654,917
6786,918
9290,919
9882,920
3032,921
7607,922
2353,923
9892,924
918,925
6178,926
5883,927
2857,928
8485,929
9968,930
2190,931
5895,932
